epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8372,1.779,15.7173,0.0184,0.08565,0.2108,0.10478,0.05235,1.59037,13.7755,0.02811,0.0001111,0.0001111,0.0001111
2,75.8597,1.45693,12.2186,0.01499,0.15598,0.24667,0.22745,0.08045,1.28624,9.1954,0.02285,0.00022946,0.00022946,0.00022946
3,86.7732,1.43595,9.18414,0.01436,0.23725,0.34667,0.32531,0.1821,1.50838,5.95942,0.02619,0.000343788,0.000343788,0.000343788
4,99.6498,1.3592,6.07048,0.01379,0.23696,0.47252,0.34555,0.26174,1.34654,4.70973,0.02076,0.000454082,0.000454082,0.000454082
5,110.04,1.38903,4.17646,0.0153,0.45612,0.37449,0.37114,0.27512,1.49609,3.53628,0.02432,0.000560344,0.000560344,0.000560344
6,120.626,1.5314,3.90731,0.01728,0.33967,0.4885,0.39749,0.2862,1.59282,3.05679,0.02654,0.000662573,0.000662573,0.000662573
7,131.564,1.44869,2.97782,0.01496,0.60711,0.41222,0.49308,0.32452,1.65903,2.64324,0.02878,0.000760768,0.000760768,0.000760768
8,142.716,1.59842,2.68314,0.01737,0.53352,0.58206,0.57071,0.31164,2.07286,2.52787,0.03598,0.000854931,0.000854931,0.000854931
9,152.936,1.51056,2.21117,0.01657,0.65443,0.60839,0.68808,0.41253,1.83139,2.3114,0.03219,0.000945061,0.000945061,0.000945061
10,165.708,1.56374,2.07137,0.01666,0.89692,0.54333,0.63499,0.42845,1.45011,2.15794,0.02297,0.000946016,0.000946016,0.000946016
11,176.222,1.50264,1.89024,0.0176,0.71488,0.78889,0.71965,0.47958,1.61828,1.99743,0.02572,0.000927685,0.000927685,0.000927685
12,188.535,1.47952,1.58149,0.01691,0.45055,0.57888,0.56181,0.34621,1.57309,2.03242,0.02779,0.000909353,0.000909353,0.000909353
13,199.076,1.45098,1.80722,0.0156,0.623,0.65889,0.67855,0.43558,1.55681,1.84844,0.02799,0.000891022,0.000891022,0.000891022
14,208.271,1.55286,1.62429,0.01686,0.6283,0.67777,0.66567,0.44221,1.70143,1.65334,0.02992,0.000872691,0.000872691,0.000872691
15,220.872,1.46025,1.63528,0.01512,0.60552,0.42261,0.5642,0.38157,1.70721,1.94958,0.02875,0.000854359,0.000854359,0.000854359
16,231.354,1.48912,1.54455,0.01511,0.63981,0.74209,0.6587,0.41094,1.91881,1.7615,0.03495,0.000836027,0.000836027,0.000836027
17,240.737,1.40828,1.53576,0.01414,0.5673,0.72008,0.70111,0.47688,1.62828,1.48868,0.02766,0.000817696,0.000817696,0.000817696
18,250.433,1.5042,1.40621,0.01788,0.65441,0.62304,0.66029,0.44612,1.81476,1.74837,0.0322,0.000799365,0.000799365,0.000799365
19,259.951,1.43715,1.31252,0.01614,0.66444,0.76434,0.70906,0.42607,1.61659,1.93378,0.02835,0.000781033,0.000781033,0.000781033
20,270.101,1.5071,1.27806,0.01476,0.61795,0.72667,0.76076,0.47361,1.74916,1.67894,0.03126,0.000762702,0.000762702,0.000762702
21,282.082,1.44436,1.1923,0.01585,0.94813,0.62408,0.75446,0.47082,1.64754,1.53296,0.02718,0.00074437,0.00074437,0.00074437
22,294.332,1.43016,1.21555,0.01394,0.72635,0.72071,0.74725,0.47896,1.72642,1.47353,0.02763,0.000726038,0.000726038,0.000726038
23,305.127,1.53922,1.37001,0.01738,0.72185,0.64444,0.6986,0.43229,1.65776,1.74227,0.02509,0.000707707,0.000707707,0.000707707
24,315.535,1.30569,1.17919,0.01474,0.7587,0.71336,0.73345,0.46717,1.63283,1.62242,0.02635,0.000689376,0.000689376,0.000689376
25,324.57,1.34249,1.19722,0.01334,0.7427,0.7586,0.79708,0.51482,1.47021,1.62246,0.02328,0.000671044,0.000671044,0.000671044
26,335.254,1.43294,1.17566,0.01622,0.61596,0.66647,0.69849,0.47108,1.56098,1.6016,0.02433,0.000652712,0.000652712,0.000652712
27,346.511,1.37759,1.11,0.0144,0.75747,0.67646,0.78216,0.47764,1.545,1.384,0.02099,0.000634381,0.000634381,0.000634381
28,357.962,1.26298,1.00736,0.01295,0.63881,0.787,0.76812,0.49406,1.50436,1.38545,0.02325,0.000616049,0.000616049,0.000616049
29,368.03,1.3651,1.0126,0.0133,0.69483,0.83182,0.81058,0.51662,1.47555,1.1032,0.023,0.000597718,0.000597718,0.000597718
30,378.986,1.28039,1.11981,0.01617,0.79007,0.76518,0.81844,0.50593,1.61988,1.17544,0.02545,0.000579386,0.000579386,0.000579386
31,389.765,1.33672,1.10829,0.01431,0.88949,0.68709,0.79611,0.50651,1.50268,1.36726,0.02273,0.000561055,0.000561055,0.000561055
32,400.467,1.33873,1.01483,0.01547,0.72871,0.79058,0.79399,0.53903,1.33505,1.51209,0.02067,0.000542723,0.000542723,0.000542723
33,410.935,1.27131,0.93645,0.01279,0.78413,0.78115,0.82944,0.54946,1.6521,1.08739,0.02801,0.000524392,0.000524392,0.000524392
34,421.332,1.24848,0.99947,0.01384,0.66872,0.84628,0.82488,0.50234,1.5966,1.10178,0.02362,0.00050606,0.00050606,0.00050606
35,430.175,1.23031,0.89323,0.01264,0.72214,0.73889,0.74532,0.50865,1.50618,1.20266,0.02249,0.000487729,0.000487729,0.000487729
36,440.226,1.20675,0.85514,0.0103,0.68068,0.83835,0.79476,0.5298,1.44928,1.18926,0.0202,0.000469397,0.000469397,0.000469397
37,450.576,1.27019,0.94221,0.0125,0.72662,0.87779,0.82655,0.55162,1.45103,0.97301,0.02103,0.000451066,0.000451066,0.000451066
38,462.188,1.26227,0.94443,0.01292,0.82412,0.81671,0.85967,0.57649,1.41848,0.94972,0.02069,0.000432734,0.000432734,0.000432734
39,472.938,1.18017,0.76692,0.0128,0.603,0.91111,0.83624,0.54778,1.37001,1.08116,0.01964,0.000414403,0.000414403,0.000414403
40,482.642,1.22203,0.86706,0.01218,0.6281,0.86479,0.80211,0.59123,1.47107,0.8806,0.02137,0.000396071,0.000396071,0.000396071
41,493.725,1.17452,0.75017,0.01373,0.6719,0.85679,0.85244,0.60337,1.45926,0.80873,0.02242,0.00037774,0.00037774,0.00037774
42,503.801,1.14116,0.77197,0.01065,0.74505,0.8612,0.85336,0.58704,1.5739,0.84819,0.02587,0.000359409,0.000359409,0.000359409
43,515.033,1.09817,0.7044,0.01183,0.77599,0.84013,0.84549,0.58836,1.6071,0.89947,0.02794,0.000341077,0.000341077,0.000341077
44,525.532,1.07622,0.70023,0.01093,0.86178,0.8397,0.88311,0.58052,1.72398,0.88897,0.03061,0.000322745,0.000322745,0.000322745
45,536.396,1.18261,0.74985,0.01144,0.83021,0.85582,0.9138,0.575,1.63181,0.80203,0.02823,0.000304414,0.000304414,0.000304414
46,546.204,1.08346,0.72422,0.01131,0.86914,0.83213,0.9105,0.6014,1.54374,0.91839,0.02673,0.000286083,0.000286083,0.000286083
47,555.769,1.05627,0.69371,0.01355,0.8521,0.81607,0.8791,0.59126,1.58079,0.96006,0.02708,0.000267751,0.000267751,0.000267751
